,_id,id_str,username,created_at,tweet,retweet_count,place,location,clean_tweets,len,Sentiment
349,5f41d8440132c41028c76b0a,1297364265540694016,EstebanGMC,Sun Aug 23 02:45:19 +0000 2020,"El empresariado que ha despedido a 2 millones de personas, que tiene al 80% de los Chilenos con sueldos de $300.000… https://t.co/OU9Eo0wU1l",0,,Santiago-Chile,empresariado despedido millones personas chilenos n sueldos s t ou eo wu l,74,0
350,5f41d8440132c41028c76b0c,1297364266174029824,nanai_22,Sun Aug 23 02:45:19 +0000 2020,Por qué dicen que el lipsync party es solo pa gringxs??? A mi me llegó un correo pa participar y que yo sepa vivo en chile,0,,yoongi's heart,qu dicen lipsync pa solo pa gringxs lleg rreo pa pa icipar sepa vivo chile,74,0
351,5f41d8450132c41028c76b0e,1297364268640346114,Tomatohabbo,Sun Aug 23 02:45:20 +0000 2020,"@magestico1 @DeportistasEl @YautjaApruebo @Una__Libertaria https://t.co/fFim2ltSqz , ahí está tu fuente , para de tragar caca",0,,,magesti depo istasel yautjaapruebo libe aria s t ffim ltsqz ah est fuente tragar caca,85,0
352,5f41d8460132c41028c76b10,1297364273241427968,vessartrk,Sun Aug 23 02:45:21 +0000 2020,"RT @EPInforma: #PlazaDeLaDignidad ""Mi nombre es @CristianGarciaC, vivo en Carabineros de Chile con Ramón Corvalán. Fui testigo de los dispa…",0,,,epinforma plazadeladignidad nombre cristiangarciac vivo carabineros chile n ram n corval n testigo dispa,104,0
353,5f41d8460132c41028c76b12,1297364274344591361,RoberWrestle,Sun Aug 23 02:45:21 +0000 2020,RT @martawarcry: ¿Quieres dejar de crear grupos de ceporros @IreneMontero en tonterías?,0,,España,ma awarcry quieres dejar crear grupos ceporros irenemontero tonter as,69,0
354,5f41d8460132c41028c76b14,1297364274646573057,summerbaby_813,Sun Aug 23 02:45:21 +0000 2020,lemme hit up my th*rapist again chile..,0,,she/her,lemme hit up my th rapist again chile,37,0
355,5f41d8470132c41028c76b16,1297364276185792518,marialorp,Sun Aug 23 02:45:21 +0000 2020,"RT @mmccarquitecta: Y ahora saca la voz? hipócrita,el problema d la araucania llena d terroristas nacionales y extranjeros viene hace años…",0,,,mmccarquitecta ahora saca voz hip crita problema d araucania llena d terroristas nacionales extranjeros viene hace,114,0
356,5f41d8470132c41028c76b18,1297364277922324480,ObviouslyLilac,Sun Aug 23 02:45:22 +0000 2020,"@sopxhiz @RHPositivity chile...
take this down... 
the spelling errors in this shows how young you are, which is ma… https://t.co/BGOx2GgJAc",0,,pfp// picrew.me,sopxhiz rhpositivity chile take this down the spelling errors in this shows how young you are which is ma s t bgox ggjac,120,-1
357,5f41d8470132c41028c76b1a,1297364279868510208,alececig,Sun Aug 23 02:45:22 +0000 2020,RT @Jou_Kaiser: @guillier Costa Rica: país que recibió las plantas de producción de microchip de INTEL y le dió rebaja de impuestos a esa c…,0,,Chile,jou kaiser guillier costa rica pa s recibi plantas producci n microchip intel di rebaja impuestos c,99,0
358,5f41d8480132c41028c76b1c,1297364282003337216,patrici84936901,Sun Aug 23 02:45:23 +0000 2020,RT @Juanillalope: Y cuántos más que han reincidido pero NO han sido atrapados. ¿Para qué existen @PJudicialChile y @FiscaliadeChile si NO s…,0,,,juanillalope cu ntos m s reincidido sido atrapados qu existen pjudicialchile fiscaliadechile si s,97,0
359,5f41d8480132c41028c76b1e,1297364282309574658,katlynshanice,Sun Aug 23 02:45:23 +0000 2020,RT @ms_showers1990: To hear pastor John Gray is back cheating again...the same pastor that has been counseling Letoya Luckett and her husba…,0,,"Houston, TX",ms showers to hear pastor john gray is back cheating again the same pastor that been unseling letoya luckett and her husba,122,0
360,5f41d8480132c41028c76b20,1297364283123216384,ElenaDe12126492,Sun Aug 23 02:45:23 +0000 2020,"RT @ALFONSO94038811: CHILE RECHAZA...!!!!!!
🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱",0,,"Valparaíso, Chile",alfonso chile rechaza,21,0
361,5f41d8490132c41028c76b22,1297364284289187840,pax_araucanii,Sun Aug 23 02:45:23 +0000 2020,"RT @auddio_oc: @guillier HIPÓCRITA!
Apoyas a los terroristas y ahora que vez que Chile comienza a manifestarse en masa en contra del narco…",0,,Araucanía Región Chilena,auddio oc guillier hip crita apoyas terroristas ahora vez chile mienza manifestarse masa ntra nar,97,0
